"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total -> Total South Dakota","833442","751143","7664","7368","5811","5951","0","1699","0","1612","7683","16751","6897","7057","477","1517","4200","0","7044","0","568",""
"Not Elsewhere Classified","753771","751143","937","0","0","0","0","0","0","0","0","0","0","707","0","0","984","0","0","0","0",""
"Different County, Same State","19402","0","599","809","1010","612","0","967","0","0","1625","7543","1132","0","0","1517","1686","0","1902","0","0",""
"Different State","8744","0","0","811","3218","2187","0","0","0","0","0","0","0","0","0","0","1530","0","998","0","0",""
"Same County","51525","0","6128","5748","1583","3152","0","732","0","1612","6058","9208","5765","6350","477","0","0","0","4144","0","568",""
" -> Total -> Total Tennessee","6500262","5862766","55640","68744","55389","120205","4788","18969","18675","0","34027","124887","14923","29118","0","40566","23193","3022","7157","0","18193",""
"Not Elsewhere Classified","5872769","5862766","1243","0","1573","4549","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2638",""
"Different County, Same State","113398","0","10065","10310","18334","28629","0","0","0","0","2746","30219","0","0","0","0","10489","0","0","0","2606",""
"Different State","127391","0","4426","2275","6353","76651","0","0","18675","0","0","5036","0","0","0","2305","8648","3022","0","0","0",""
"Same County","386704","0","39906","56159","29129","10376","4788","18969","0","0","31281","89632","14923","29118","0","38261","4056","0","7157","0","12949",""
" -> Total -> Total Texas","27476946","24080424","67498","523863","414058","514148","19733","205030","12911","28151","151019","420006","111650","327931","0","160313","75286","62575","110513","20634","171203",""
"Not Elsewhere Classified","24198516","24080424","0","0","6348","35321","0","7468","0","0","15726","0","0","0","0","21627","4738","24035","0","0","2829",""
"Different County, Same State","757082","0","23004","129903","95985","144530","8814","64831","6969","13323","21419","71914","19454","28547","0","10528","27796","10910","22977","0","56178",""
"Different State","335369","0","0","30544","64131","168537","3841","3976","0","0","5684","0","0","0","0","0","5941","27630","15596","0","9489",""
"Same County","2185979","0","44494","363416","247594","165760","7078","128755","5942","14828","108190","348092","92196","299384","0","128158","36811","0","71940","20634","102707",""
" -> Total -> Total Utah","3185206","2853816","38119","23197","12806","35240","3116","25455","0","1332","10937","71852","11368","17090","13615","26335","20177","0","3942","0","16809",""
"Not Elsewhere Classified","2863439","2853816","0","0","2338","7285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","66707","0","11824","1048","2977","10152","3116","11929","0","0","0","9264","0","5907","0","4656","5834","0","0","0","0",""
"Different State","38187","0","0","1360","0","17803","0","0","0","1332","0","7518","0","0","0","0","2273","0","985","0","6916",""
"Same County","216873","0","26295","20789","7491","0","0","13526","0","0","10937","55070","11368","11183","13615","21679","12070","0","2957","0","9893",""
" -> Total -> Total Vermont","603068","548611","2441","5710","3181","1242","572","2979","456","0","7089","12744","2782","409","0","8687","0","456","1148","0","4561",""
"Not Elsewhere Classified","549355","548611","0","744","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","10955","0","0","0","0","0","0","1043","0","0","5547","2234","0","0","0","1355","0","0","392","0","384",""
"Different State","9671","0","388","1025","2841","1242","572","0","456","0","0","517","0","0","0","740","0","456","0","0","1434",""
"Same County","33087","0","2053","3941","340","0","0","1936","0","0","1542","9993","2782","409","0","6592","0","0","756","0","2743",""
" -> Total -> Total Virginia","8327302","7451291","71554","77222","40941","107376","3846","74760","0","0","52854","218385","44602","28527","32120","72316","9271","5750","6301","0","30186",""
"Not Elsewhere Classified","7493745","7451291","0","0","10148","16987","0","0","0","0","0","6048","0","0","0","0","9271","0","0","0","0",""
"Different County, Same State","418140","0","53342","32014","19985","14866","0","51389","0","0","22736","104792","27751","16218","11059","43612","0","5750","0","0","14626",""
"Different State","125072","0","0","0","7737","59196","0","19604","0","0","0","15693","0","7916","9536","0","0","0","0","0","5390",""
"Same County","290345","0","18212","45208","3071","16327","3846","3767","0","0","30118","91852","16851","4393","11525","28704","0","0","6301","0","10170",""
" -> Total -> Total Washington","7466705","6523610","43342","117696","164038","97248","3194","42943","15954","13653","30672","104457","15123","39826","0","113173","5129","3078","12362","0","121207",""
"Not Elsewhere Classified","6562720","6523610","2204","0","6631","3596","0","0","0","0","0","0","0","0","0","0","1490","0","0","0","25189",""
"Different County, Same State","147381","0","4462","5699","46884","15023","0","9080","6724","0","11776","14764","0","0","0","0","3639","0","3151","0","26179",""
"Different State","139698","0","0","11015","51361","44002","0","0","0","0","0","0","0","19158","0","0","0","3078","5851","0","5233",""
"Same County","616906","0","36676","100982","59162","34627","3194","33863","9230","13653","18896","89693","15123","20668","0","113173","0","0","3360","0","64606",""
" -> Total -> Total West Virginia","1740316","1563058","9569","38324","20168","13852","3592","7355","3775","0","6031","20661","4764","17456","3016","3581","6345","0","5671","0","13098",""
