date,Metro,State,Net flow
2018/7/1,Cape Coral,FL,1026
2018/7/1,Reno,NV,983
2018/7/1,Jacksonville,FL,933
2018/7/1,San Luis Obispo,CA,900
2018/7/1,North Port,FL,850
2018/7/1,Wenatchee,WA,705
2018/7/1,Bellingham,WA,662
2018/7/1,Salt Lake City,UT,659
2018/7/1,Urban Honolulu,HI,655
2018/7/1,Albuquerque,NM,652
2018/7/1,Modesto,CA,642
2018/7/1,Minneapolis,MN,526
2018/7/1,Pittsburgh,PA,502
2018/7/1,Virginia Beach,VA,494
2018/7/1,Bakersfield,CA,487
2018/7/1,Charleston,SC,465
2018/7/1,Tucson,AZ,377
2018/7/1,Fort Collins,CO,372
2018/7/1,Grand Rapids,MI,347
2018/7/1,Fresno,CA,342
2018/7/1,Cleveland,OH,330
2018/7/1,Salinas,CA,297
2018/7/1,Greensboro,NC,292
2018/7/1,New Orleans,LA,273
2018/7/1,Madison,WI,268
2018/7/1,Kansas City,MO,245
2018/7/1,Asheville,NC,218
2018/7/1,Columbus,OH,212
2018/7/1,Richmond,VA,202
2018/7/1,St. Louis,MO,190
2018/7/1,Kalamazoo,MI,169
2018/7/1,Rochester,NY,168
2018/7/1,Buffalo,NY,167
2018/7/1,Memphis,TN,152
2018/7/1,Oklahoma City,OK,129
2018/7/1,Greenville,SC,128
2018/7/1,Indianapolis,IN,112
2018/7/1,Cincinnati,OH,104
2018/7/1,Louisville,KY,76
2018/7/1,Santa Maria,CA,72
2018/7/1,El Paso,TX,58
2018/7/1,Albany,NY,52
2018/7/1,Columbia,SC,31
2018/7/1,Birmingham,AL,30
2018/7/1,South Bend,IN,26
2018/7/1,Tulsa,OK,25
2018/7/1,Knoxville,TN,16
2018/7/1,Lakeland,FL,9
2018/7/1,Baton Rouge,LA,-2
2018/7/1,Little Rock,AR,-3
2018/7/1,Chico,CA,-28
2018/7/1,Syracuse,NY,-41
2018/7/1,Omaha,NE,-58
2018/7/1,Dayton,OH,-65
2018/7/1,Eugene,OR,-142
2018/7/1,Detroit,MI,-242
2018/7/1,Salisbury,MD,-278
2018/7/1,Rockford,IL,-303
2018/7/1,Orlando,FL,-492
2018/7/1,Houston,TX,-578
2018/7/1,Milwaukee,WI,-899
2018/7/1,Spokane,WA,-908
2018/7/1,Chicago,IL,-3050
2018/7/1,Denver,CO,-3290
2018/7/1,Washington,DC,-6592
2018/7/1,Los Angeles,CA,-14129
2018/7/1,New York,NY,-23214
2018/7/1,San Jose,CA,-28143
2018/10/1,Sacramento,CA,5879
2018/10/1,Phoenix,AZ,5287
2018/10/1,Atlanta,GA,4658
2018/10/1,Portland,OR,4057
2018/10/1,Seattle,WA,3638
2018/10/1,Las Vegas,NV,3181
